sensitivity_type,sensitivity_label,scope,individual,common_parameter_min,common_parameter_max,pearson_gdis_profile,spearman_gdis_profile,mean_abs_gdis_difference,primary_gdis_peak_parameter,sensitivity_gdis_peak_parameter,gdis_peak_shift,absolute_gdis_peak_shift,primary_abs_peak_landmark_error,sensitivity_abs_peak_landmark_error,primary_transition_energy_peak_parameter,sensitivity_transition_energy_peak_parameter,transition_energy_peak_shift,absolute_transition_energy_peak_shift,gdis_peak_within_0p05_of_primary
window,sensitivity_w300_s75,cm_extension,19193,0.009603269,0.43576476,0.9938412606118582,0.9595894974319588,0.005303663910106568,0.34249922,0.34249922,0.0,0.0,0.03166297499999998,0.03166297499999998,0.3401068499999999,0.33905368999999996,-0.001053159999999942,0.001053159999999942,True
window,sensitivity_w300_s75,cm_extension,19209,0.010101056,0.49666047,0.8849297074649822,0.9768398214371431,0.019017309055933327,0.394765225,0.37303034999999996,-0.021734875000000042,0.021734875000000042,0.0017501100000000824,0.01998476499999996,0.0226253125,0.019985801499999997,-0.002639511000000004,0.002639511000000004,True
window,sensitivity_w300_s75,shared_backbone,18489,0.0093122065,0.32634978,0.9869613742927482,0.9886979311668985,0.006491661109161211,0.0497425255,0.0497425255,0.0,0.0,0.23809274449999998,0.23809274449999998,0.0432921105,0.046061002000000004,0.0027688915000000022,0.0027688915000000022,True
window,sensitivity_w300_s75,shared_backbone,18499,0.0105001885,0.345389095,0.8329888745532337,0.871648250372006,0.033520810609357,0.329159395,0.17731584,-0.15184355500000002,0.15184355500000002,0.09741406500000002,0.05442949,0.026195626,0.025528336,-0.0006672900000000009,0.0006672900000000009,False
window,sensitivity_w300_s75,shared_backbone,18505,0.0123187974999999,0.3372085999999999,0.9920165852317437,0.9941976671626744,0.008073513377153988,0.3089079,0.33935088,0.03044298000000001,0.03044298000000001,0.04000730000000002,0.07045028000000003,0.042544889,0.33935088,0.29680599100000005,0.29680599100000005,True
window,sensitivity_w300_s75,shared_backbone,18508,0.008214258,0.3386987,0.9888155719041243,0.9824616713867421,0.005671951204148748,0.3386987,0.32845533000000005,-0.010243369999999974,0.010243369999999974,0.013193115000000033,0.002949745000000059,0.3386987,0.32938236,-0.009316340000000034,0.009316340000000034,True
window,sensitivity_w300_s75,shared_backbone,18511,0.008324772,0.34631432,0.8985489907198809,0.97499275188403,0.015492267359657298,0.23301977,0.25803076999999996,0.025010999999999978,0.025010999999999978,0.03547976,0.010468760000000021,0.027544216,0.030856376,0.0033121600000000015,0.0033121600000000015,True
window,sensitivity_w300_s75,shared_backbone,18517,0.0107778705,0.3413911,0.9307232081058063,0.9477713243411894,0.02313152107279636,0.32965499,0.32965499,0.0,0.0,0.05109284999999997,0.05109284999999997,0.0320469414999999,0.032561742500000004,0.0005148010000001063,0.0005148010000001063,True
window,sensitivity_w300_s75,shared_backbone,18520,0.0134436814999999,0.340759455,0.977541936521657,0.9665738011808188,0.012185283583401024,0.31473276,0.308950025,-0.005782734999999983,0.005782734999999983,0.014798340000000021,0.009015605000000038,0.0134436814999999,0.013960974000000001,0.0005172925000001011,0.0005172925000001011,True
window,sensitivity_w300_s75,shared_backbone,18855,0.01420406175,0.33273144,0.5723757697087146,0.6244942159074545,0.11269770156380189,0.318528025,0.303578885,-0.014949139999999972,0.014949139999999972,0.012580625000000012,0.00236851499999996,0.0360830635,0.035084698,-0.0009983655000000008,0.0009983655000000008,True
