config,scope,individual,npz_path,window_metadata_path,n_windows,window_size,n_dimensions
primary_w400_s100,shared_backbone,19159,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_19159.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_19159_windows.csv,56,400,50
primary_w400_s100,shared_backbone,19190,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_19190.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_19190_windows.csv,84,400,50
primary_w400_s100,shared_backbone,19193,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_19193.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_19193_windows.csv,56,400,50
primary_w400_s100,shared_backbone,19209,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_19209.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_19209_windows.csv,85,400,50
primary_w400_s100,cm_extension,18489,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_18489.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_18489_windows.csv,65,400,50
primary_w400_s100,cm_extension,18499,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_18499.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_18499_windows.csv,133,400,50
primary_w400_s100,cm_extension,18505,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_18505.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_18505_windows.csv,71,400,50
primary_w400_s100,cm_extension,18508,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_18508.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_18508_windows.csv,89,400,50
primary_w400_s100,cm_extension,18511,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_18511.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_18511_windows.csv,118,400,50
primary_w400_s100,cm_extension,18517,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_18517.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_18517_windows.csv,92,400,50
primary_w400_s100,cm_extension,18520,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_18520.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_18520_windows.csv,81,400,50
