gene,highly_variable,means,dispersions,dispersions_norm,highly_variable_nbatches,highly_variable_intersection
CCND1,True,0.3805873660550707,2.0227279032974224,1.7280849,2,True
CCND2,True,0.6536379169521369,2.2126323398466274,2.623595,2,True
CCNE2,True,0.033992911115335166,2.0886128308892533,1.4400226,2,True
CD4,True,0.03161796021951739,1.959730575737029,1.0173197,2,True
CD44,True,0.03753619462447122,2.2532146770659796,1.988432,2,True
CD74,True,0.7754137433114283,2.2982652332489115,3.196486,2,True
CDC42SE1,True,0.7223323662722521,1.9906914061593242,1.184575,2,True
CDCA2,True,0.045407741881680425,2.16848067578777,1.7538456,2,True
CDCA7L,True,0.44966640539606784,1.9181159903298934,1.0202174,2,True
CDCA8,True,0.10678509098589453,2.1119319747106546,1.5437824,2,True
CDH11,True,0.17935190993377367,2.0667032397322416,1.3814538,2,True
CDH12,True,0.06863516532942746,1.9760616985569648,1.0729554,2,True
CDH3,True,0.6587116854328918,1.989851180362979,1.1714885,2,True
CDH6,True,0.49486046520592486,2.1349305335152144,2.3202019,2,True
CDK1,True,0.16172191788862378,2.3193215787800474,2.2533705,2,True
CDKN1A,True,0.2496292976276036,2.7813146433179687,5.3622675,2,True
CDKN1C,True,2.912202281422431,3.325564598989403,2.4223511,2,True
CELA3A,True,0.33517728739148256,2.6542796127010906,6.1097555,2,True
CELA3B,True,0.1432390548546066,2.1476611048350325,1.6618494,2,True
CELSR2,True,0.7739839135234963,2.0909245476204905,1.5156856,2,True
CENPE,True,0.0804508809179103,2.000125520206063,1.1652328,2,True
CENPF,True,0.2904039678660711,2.5304868401847713,4.079656,2,True
CENPW,True,0.11580888305319154,2.1344037479316227,1.622112,2,True
CEP76,True,0.13980786963643987,2.0176464266077088,1.2189629,2,True
CFTR,True,0.0016787851657501269,1.9607572212286235,1.0197791,2,True
CGA,True,0.04461575365955462,2.646014370321782,3.3337564,2,True
CHAC1,True,0.26818910751128217,2.208586517926779,2.616637,2,True
CHGA,True,5.416437885308764,5.417904880512273,1.0,2,True
CHODL,True,0.2548074464658454,2.1530270855782803,1.6760015,2,True
CHRM3,True,0.053551775191380664,1.983940227416869,1.1045254,2,True
CHRNA1,True,0.046997248657851466,2.0498655515582573,1.3200141,2,True
CHRNA2,True,0.06307011497461312,2.0610044023591634,1.3646297,2,True
CKS1B,True,0.6358892487014693,2.0955514765048227,1.8609325,2,True
CLCA1,True,0.08498343879059822,2.670649424015206,3.4501884,2,True
CLDN18,True,0.32147710453928635,2.725026156986633,6.608054,2,True
CLDN4,True,0.4616189877668366,1.9686480674032218,1.3646227,2,True
CLDN5,True,0.32009341233145255,2.051649091598561,1.9352866,2,True
CLDN6,True,1.4734515174214906,2.357312731313669,1.8323051,2,True
CLEC11A,True,0.34772261151656253,1.9195395794498298,1.0291942,2,True
CLHC1,True,0.10084697615449939,2.106946853957215,1.515761,2,True
CLPS,True,0.36867452085280394,3.1484630211769047,9.549823,2,True
CLU,True,1.2748241409980507,2.346251948525669,1.8709335,2,True
CNN3,True,1.1220067963890212,2.2470507840833296,1.7153915,2,True
CNR1,True,0.13105675361797026,1.9487546483896525,0.9839405,2,True
CNTNAP2,True,0.4442598829059121,2.1754582748581734,2.7757983,2,True
CNTNAP4,True,0.012912690164756446,2.0702424956458643,1.3929299,2,True
COL12A1,True,0.1444911805275918,2.185957489582923,1.7885559,2,True
COL13A1,True,0.2857494021674781,2.114574520747315,2.0596347,2,True
COL14A1,True,0.006098433413430455,1.9714452488915457,1.060526,2,True
COL1A2,True,0.15181404501582896,2.4441084413406298,2.6650262,2,True
COL22A1,True,0.15606511535804674,1.98274778402331,1.0945724,2,True
COL27A1,True,0.8261172671602586,2.0473063663451283,1.224854,2,True
COL2A1,True,0.6278237520658352,2.324672312365804,3.6064327,2,True
COL4A5,True,0.5556507002590474,2.0292912896809367,1.4380836,2,True
COL5A1,True,0.17580462441418843,1.9995443153507813,1.1483992,2,True
COL5A2,True,0.6738477320590812,2.5914375154807914,5.1065354,2,True
COL9A2,True,0.18145286068652255,2.021459236538304,1.235628,2,True
COPS2,True,0.7340084716566337,1.963799746573275,1.0073819,2,True
COX6A2,True,0.007394497287051426,2.271353798288122,2.0926287,2,True
CPA2,True,0.22115662812539477,1.9510873626250795,0.990994,2,True
CPB1,True,0.08196881791128569,2.6795205852953163,3.4878016,2,True
CPNE2,True,0.18326938032085738,2.0146166747510414,1.2128867,2,True
CRABP1,True,0.04814204756378692,2.7643721058185493,3.7420735,2,True
CRH,True,0.29795313210360197,3.017347212837744,8.600873,2,True
CRHBP,True,0.049339976721025365,2.7079034906775834,3.602225,2,True
CRIM1,True,0.25121771936517107,2.008935340638976,1.1903025,2,True
CRIP2,True,0.6343346817421999,2.129887134722141,2.1016834,2,True
CRISPLD1,True,1.551304075037463,2.916752121950214,4.378869,2,True
CRTAP,True,0.34618322068861895,2.0761105940307107,2.0920618,2,True
CRTC3,True,0.24422692056582493,1.9445209462634265,0.96779746,2,True
CRYBA2,True,1.7099864409681287,2.8032018811468933,1.6012298,2,True
CRYBB1,True,0.10507997476397346,2.41101071912677,2.5625477,2,True
CSPG5,True,0.03198309834746191,2.0928350541636638,1.4558002,2,True
